data\test_digits_inverted\0\Zero_full (1019).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1654).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (168).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1698).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1719).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1730).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (1747).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1748).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1763).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (186).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1862).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1902).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1911).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1919).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (1951).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1952).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (1991).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (2017).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (2018).jpg | True: 0, Pred: 8
data\test_digits_inverted\0\Zero_full (2024).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (2027).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (2076).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (2106).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (2215).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (24).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (35).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (357).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (360).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (370).jpg | True: 0, Pred: 3
data\test_digits_inverted\0\Zero_full (381).jpg | True: 0, Pred: 8
data\test_digits_inverted\0\Zero_full (403).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (409).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (462).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (471).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (490).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (514).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (52).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (554).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (60).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (622).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (644).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (645).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (660).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (743).jpg | True: 0, Pred: 3
data\test_digits_inverted\0\Zero_full (754).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (805).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (839).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (875).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (886).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (898).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (921).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (954).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (967).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (983).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (990).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (993).jpg | True: 0, Pred: 0
data\test_digits_inverted\1\One_full (1000).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (1020).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1022).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1060).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1085).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1088).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (1113).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1136).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (1138).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1160).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1172).jpg | True: 1, Pred: 6
data\test_digits_inverted\1\One_full (1182).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (120).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1255).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1273).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1281).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1298).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1315).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1334).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1362).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (137).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1394).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1399).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1410).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (1439).jpg | True: 1, Pred: 3
data\test_digits_inverted\1\One_full (1445).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1457).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1485).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (1499).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1508).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1575).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1590).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1605).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1742).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1795).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1800).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1802).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1811).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (184).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1868).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1899).jpg | True: 1, Pred: 3
data\test_digits_inverted\1\One_full (1916).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (1917).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (1920).jpg | True: 1, Pred: 3
data\test_digits_inverted\1\One_full (1966).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (1967).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (197).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (2018).jpg | True: 1, Pred: 3
data\test_digits_inverted\1\One_full (2117).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (2184).jpg | True: 1, Pred: 5
data\test_digits_inverted\1\One_full (2209).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (2217).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (2225).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (240).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (249).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (253).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (276).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (301).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (312).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (328).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (37).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (387).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (400).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (456).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (48).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (494).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (527).jpg | True: 1, Pred: 9
data\test_digits_inverted\1\One_full (539).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (574).jpg | True: 1, Pred: 9
data\test_digits_inverted\1\One_full (599).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (6).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (62).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (628).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (632).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (672).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (688).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (689).jpg | True: 1, Pred: 2
data\test_digits_inverted\1\One_full (70).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (708).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (721).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (790).jpg | True: 1, Pred: 7
data\test_digits_inverted\1\One_full (817).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (818).jpg | True: 1, Pred: 4
data\test_digits_inverted\1\One_full (889).jpg | True: 1, Pred: 1
data\test_digits_inverted\1\One_full (921).jpg | True: 1, Pred: 1
data\test_digits_inverted\2\Two_full (104).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1053).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1056).jpg | True: 2, Pred: 0
data\test_digits_inverted\2\Two_full (1125).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (12).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1284).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1300).jpg | True: 2, Pred: 7
data\test_digits_inverted\2\Two_full (1304).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1305).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1315).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1359).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1371).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (14).jpg | True: 2, Pred: 5
data\test_digits_inverted\2\Two_full (1446).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1455).jpg | True: 2, Pred: 8
data\test_digits_inverted\2\Two_full (146).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (149).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1504).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1531).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1543).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1558).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1595).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1598).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1617).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1667).jpg | True: 2, Pred: 6
data\test_digits_inverted\2\Two_full (1674).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1705).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1731).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1734).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1776).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1782).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (181).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (1824).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1831).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1912).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (1949).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1965).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (1967).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (20).jpg | True: 2, Pred: 6
data\test_digits_inverted\2\Two_full (2080).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (2169).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (2199).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (221).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (2219).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (246).jpg | True: 2, Pred: 0
data\test_digits_inverted\2\Two_full (255).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (28).jpg | True: 2, Pred: 6
data\test_digits_inverted\2\Two_full (313).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (359).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (375).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (385).jpg | True: 2, Pred: 1
data\test_digits_inverted\2\Two_full (397).jpg | True: 2, Pred: 8
data\test_digits_inverted\2\Two_full (407).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (413).jpg | True: 2, Pred: 7
data\test_digits_inverted\2\Two_full (418).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (433).jpg | True: 2, Pred: 7
data\test_digits_inverted\2\Two_full (446).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (476).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (496).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (589).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (607).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (630).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (665).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (685).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (687).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (691).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (782).jpg | True: 2, Pred: 0
data\test_digits_inverted\2\Two_full (788).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (799).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (81).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (811).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (817).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (829).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (832).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (866).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (876).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (89).jpg | True: 2, Pred: 3
data\test_digits_inverted\2\Two_full (892).jpg | True: 2, Pred: 9
data\test_digits_inverted\2\Two_full (914).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (917).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (926).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (956).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (968).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (982).jpg | True: 2, Pred: 2
data\test_digits_inverted\2\Two_full (995).jpg | True: 2, Pred: 2
data\test_digits_inverted\3\Three_full (1027).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1089).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1091).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1116).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1117).jpg | True: 3, Pred: 5
data\test_digits_inverted\3\Three_full (1137).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1178).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1187).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1202).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1210).jpg | True: 3, Pred: 2
data\test_digits_inverted\3\Three_full (1211).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1220).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1239).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1279).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1280).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1292).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1323).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (134).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1350).jpg | True: 3, Pred: 7
data\test_digits_inverted\3\Three_full (1359).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1360).jpg | True: 3, Pred: 7
data\test_digits_inverted\3\Three_full (1412).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1426).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1449).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (145).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1485).jpg | True: 3, Pred: 7
data\test_digits_inverted\3\Three_full (1498).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1536).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1582).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (164).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1641).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1658).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1659).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (166).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (175).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1750).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1786).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1828).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1841).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1915).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (1942).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (2026).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (2047).jpg | True: 3, Pred: 7
data\test_digits_inverted\3\Three_full (2054).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (2055).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (2151).jpg | True: 3, Pred: 9
data\test_digits_inverted\3\Three_full (2196).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (221).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (259).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (263).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (298).jpg | True: 3, Pred: 5
data\test_digits_inverted\3\Three_full (320).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (374).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (376).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (396).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (4).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (439).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (444).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (490).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (492).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (498).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (524).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (53).jpg | True: 3, Pred: 5
data\test_digits_inverted\3\Three_full (55).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (550).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (553).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (626).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (640).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (643).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (663).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (684).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (687).jpg | True: 3, Pred: 7
data\test_digits_inverted\3\Three_full (693).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (702).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (765).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (780).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (8).jpg | True: 3, Pred: 5
data\test_digits_inverted\3\Three_full (809).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (863).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (878).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (880).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (882).jpg | True: 3, Pred: 2
data\test_digits_inverted\3\Three_full (913).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (931).jpg | True: 3, Pred: 3
data\test_digits_inverted\3\Three_full (968).jpg | True: 3, Pred: 3
data\test_digits_inverted\4\Four_full (1013).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1018).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (109).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1109).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1110).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1117).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1121).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1137).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1185).jpg | True: 4, Pred: 3
data\test_digits_inverted\4\Four_full (119).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1190).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1197).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1222).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1227).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1234).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (1330).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1345).jpg | True: 4, Pred: 0
data\test_digits_inverted\4\Four_full (1391).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1430).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1470).jpg | True: 4, Pred: 6
data\test_digits_inverted\4\Four_full (1475).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (150).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1512).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1527).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1559).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1567).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1572).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1583).jpg | True: 4, Pred: 7
data\test_digits_inverted\4\Four_full (1586).jpg | True: 4, Pred: 5
data\test_digits_inverted\4\Four_full (1594).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1600).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1646).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1658).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1664).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1693).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1718).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1755).jpg | True: 4, Pred: 9
data\test_digits_inverted\4\Four_full (1801).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1813).jpg | True: 4, Pred: 7
data\test_digits_inverted\4\Four_full (1819).jpg | True: 4, Pred: 4
data\test_digits_inverted\4\Four_full (1850).jpg | True: 4, Pred: 6
